"LOAN_ID","MEMBER_ID","LOAN_AMOUNT","FUNDED_AMOUNT","TERM","INTEREST_RATE","EXPECTED_DEFAULT_RATE","SERVICE_FEE_RATE","INSTALLMENT","GRADE","SUBGRADE","EMPLOYMENT_LENGTH","HOME_OWNERSHIP","ANNUAL_INCOME","ANNUAL_INCOME_VERIFIED","ACCEPTED_DATE","EXPIRATION_DATE","LISTING_DATE","CREDIT_PULL_DATE","REVIEW_STATUS_DATE","REVIEW_STATUS","DESCRIPTION","PURPOSE","ADDRESS_ZIP","ADDRESS_STATE","INVESTOR_COUNT","INITIAL_LIST_STATUS","EMP_TITLE","INITIAL_LIST_STATUS_EXPIRE_DATE","ACCOUNTS_NOW_DELINQUENT","ACCOUNTS_OPEN_IN_PAST_24_MTHS","BANK_CARDS_AMOUNT_OPEN_TO_BUY","BANK_CARDS_UTILIZATION_RATIO","DEBT_TO_INCOME_RATIO","DELINQUENCIES_IN_LAST_2_YEARS","DELINQUENT_AMOUNT","EARLIEST_CREDIT_LINE_DATE","FICO_RANGE_LOW","FICO_RANGE_HIGH","INQUIRIES_IN_LAST_6_MONTHS","MONTHS_SINCE_LAST_DELINQUENCY","MONTHS_SINCE_LAST_RECORD","MONTHS_SINCE_LAST_INQUIRY","MONTHS_SINCE_RECENT_REVOLVING_DELINQUENCY","MONTHS_SINCE_RECENT_BANK_CARD","MORTGAGE_ACCOUNTS","OPEN_ACCOUNTS","PUBLIC_RECORDS","TOTAL_BALANCE_EXCLUDING_MORTGAGE","REVOLVING_BALANCE","REVOLVING_UTILIZATION","TOTAL_BANK_CARD_LIMIT","TOTAL_ACCOUNTS","TOTAL_IL_HIGH_CREDIT_LIMIT","NUM_REV_ACCTS","MTHS_SINCE_RECENT_BC_DLQ","PUB_REC_BANKRUPTCIES","NUM_ACCTS_EVER_120_PPD","CHARGEOFF_WITHIN_12_MTHS","COLLECTIONS_12_MTHS_EXMED","TAX_LIENS","MTHS_SINCE_LAST_MAJOR_DEROG","NUM_STATS","NUM_TL_OP_PAST_12_M","MO_SIN_RCNT_TL","TO_HI_CRED_LIM","TO_CUR_BAL","AVG_CUR_BAL","NUM_BC_TL","NUM_ACTV_BC_TL","NUM_BC_STATS","PCT_TL_NVR_DLQ","NUM_TL_90_G_DPD_24_M","NUM_TL_30_DPD","NUM_TL_120_DPD_2_M","NUM_IL_TL","MO_SIN_OLD_IL_ACCT","NUM_ACTV_REV_TL","MO_SIN_OLD_REV_TL_OP","MO_SIN_RCNT_REV_TL_OP","TOTAL_REV_HI_LIM","NUM_REV_TL_BAL_GT0","NUM_OP_REV_TL","TOT_COLL_AMT","PERCENT_OF_BANK_CARDS_OVER_75_PERCENT_UTIL"
"41069949","43945719","8000.0","7475.0","36","6.39","1.3","0.78","244.8","A","A2","96","MORTGAGE","70000.0","NOT_VERIFIED","2015-02-12T09:35:58.000-08:00","2015-02-26T09:45:19.000-08:00","2015-02-12T10:00:00.000-08:00","2015-02-10T08:41:48.000-08:00","2015-02-12T09:45:59.000-08:00","APPROVED","","home_improvement","190xx","PA","0","F","Advisor support rep","2015-02-12T10:00:00.000-08:00","0","3","3714","68.3","3.86","0","0.0","2002-07-09T17:00:00.000-07:00","710","714","0","75","","21","75","16","2","8","0","8160","8160.0","38.0","11700","15","0","11","75","0","1","0","0","0","75","8","0","16","231500","212872","26609","8","3","4","93","0","0","0","2","151","4","122","16","21500","4","7","0","25.0"
"40940200","43815967","10000.0","7400.0","36","5.93","1.0","0.78","303.91","A","A1","0","MORTGAGE","45000.0","SOURCE_VERIFIED","2015-02-11T00:58:36.000-08:00","2015-02-25T01:15:13.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-10T20:49:58.000-08:00","2015-02-12T14:39:07.000-08:00","APPROVED","","home_improvement","430xx","OH","0","F","","2015-02-11T06:00:00.000-08:00","0","1","20831","25.6","6.16","0","0.0","1960-01-10T16:00:00.000-08:00","730","734","0","38","","14","38","19","2","19","0","42151","42151.0","62.4","28000","30","0","28","38","0","0","1","0","0","38","19","0","19","201200","85086","6545","20","4","12","93","0","0","0","0","","5","661","19","67500","5","18","0","0.0"
"41040395","43916174","30000.0","26800.0","60","10.99","4.43","0.53","652.13","B","B4","84","MORTGAGE","97000.0","NOT_VERIFIED","2015-02-10T22:02:43.000-08:00","2015-02-24T22:10:43.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-10T21:57:56.000-08:00","","NOT_APPROVED","","debt_consolidation","224xx","VA","0","W","ER Registered Nurse","2015-02-11T18:00:00.000-08:00","0","3","4870","87.6","19.57","0","0.0","2002-10-10T17:00:00.000-07:00","690","694","0","","","","","36","0","21","0","59473","37533.0","77.9","39200","30","43531","21","","0","0","0","0","0","","21","1","3","91731","59473","3130","11","8","9","100","0","0","0","9","148","13","147","3","48200","13","15","57","87.5"
"41011022","43886809","9000.0","6150.0","36","6.39","1.3","0.78","275.4","A","A2","24","RENT","50000.0","NOT_VERIFIED","2015-02-11T01:38:07.000-08:00","2015-02-25T01:42:19.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-11T01:37:08.000-08:00","2015-02-12T14:38:43.000-08:00","APPROVED","","debt_consolidation","900xx","CA","0","F","Library staff","2015-02-11T06:00:00.000-08:00","0","0","1414","92.7","16.28","0","0.0","2000-02-10T16:00:00.000-08:00","670","674","0","24","","8","","154","0","8","0","155088","21913.0","89.4","19500","39","133175","20","","0","2","0","0","0","24","8","0","34","157675","155088","19386","10","3","3","89","0","0","0","19","114","6","180","34","24500","6","7","0","100.0"
"41149617","44025369","10000.0","6725.0","36","7.89","2.15","0.78","312.86","A","A5","36","RENT","55000.0","NOT_VERIFIED","2015-02-10T21:49:04.000-08:00","2015-02-24T22:21:37.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-08T14:03:15.000-08:00","","NOT_APPROVED","","debt_consolidation","071xx","NJ","0","F","cashier","2015-02-11T06:00:00.000-08:00","0","5","12261","30.3","8.38","1","0.0","2007-10-07T17:00:00.000-07:00","670","674","0","3","","12","3","5","0","13","0","10368","10368.0","29.4","17600","20","0","20","","0","0","0","0","0","","13","1","5","35300","10368","864","10","3","7","95","0","0","0","0","","8","88","5","35300","8","13","0","28.6"
"41140761","44016556","8000.0","5950.0","36","6.68","1.5","0.78","245.85","A","A3","0","RENT","24000.0","NOT_VERIFIED","2015-02-11T13:32:52.000-08:00","2015-02-25T13:35:27.000-08:00","2015-02-11T14:00:00.000-08:00","2015-02-11T12:52:16.000-08:00","2015-02-13T15:06:08.000-08:00","APPROVED","","credit_card","787xx","TX","0","F","Garage Attendant","2015-02-11T14:00:00.000-08:00","0","3","22667","29.8","22.4","0","0.0","2002-12-10T16:00:00.000-08:00","765","769","0","","","11","","1","0","9","0","10517","9954.0","26.6","32300","24","6000","21","","0","0","0","0","0","","9","1","1","43400","10517","1315","18","5","7","100","0","0","0","3","125","6","146","1","37400","6","8","0","0.0"
"39877448","42722171","8000.0","5700.0","36","6.39","1.3","0.78","244.8","A","A2","12","RENT","65000.0","NOT_VERIFIED","2015-02-11T11:06:02.000-08:00","2015-02-25T11:17:37.000-08:00","2015-02-11T14:00:00.000-08:00","2015-02-11T11:03:24.000-08:00","2015-02-11T11:17:57.000-08:00","APPROVED","","credit_card","080xx","NJ","0","F","Investment Associate","2015-02-11T14:00:00.000-08:00","0","1","1947","79.3","15.34","0","0.0","2002-10-10T17:00:00.000-07:00","710","714","0","40","","","40","84","0","5","0","37465","7813.0","58.3","9400","17","44053","9","40","0","0","0","0","0","","5","0","21","57453","37465","7493","5","2","2","94","0","0","0","8","148","3","144","21","13400","3","3","0","100.0"
"40989670","43865422","10000.0","7000.0","36","6.92","1.7","0.78","308.41","A","A4","60","RENT","100000.0","NOT_VERIFIED","2015-02-11T05:48:03.000-08:00","2015-02-25T06:04:04.000-08:00","2015-02-11T10:00:00.000-08:00","2015-02-09T07:34:07.000-08:00","2015-02-12T15:17:13.000-08:00","APPROVED","","debt_consolidation","112xx","NY","0","F","Sales Manager","2015-02-11T10:00:00.000-08:00","0","0","2051","89.0","7.24","0","0.0","2001-09-08T17:00:00.000-07:00","680","684","0","","64","2","","69","1","9","1","19558","16957.0","88.8","18600","17","7803","11","","0","0","0","0","1","","9","0","25","391153","358947","39883","9","6","6","100","0","0","0","5","102","7","161","69","19100","7","7","0","100.0"
"41011288","43887092","8650.0","6325.0","36","6.92","1.7","0.78","266.78","A","A4","60","RENT","64900.0","NOT_VERIFIED","2015-02-11T13:42:42.000-08:00","2015-02-25T13:46:25.000-08:00","2015-02-11T14:00:00.000-08:00","2015-02-11T13:11:04.000-08:00","","NOT_APPROVED","","credit_card","850xx","AZ","0","F","sales","2015-02-11T14:00:00.000-08:00","0","2","33002","31.8","6.17","0","0.0","1985-06-10T17:00:00.000-07:00","710","714","1","","","6","","17","0","8","0","15398","15398.0","31.8","48400","13","0","13","","0","0","0","0","0","","8","0","17","48400","15398","2566","13","4","8","100","0","0","0","0","","4","356","17","48400","4","8","0","16.7"
"40980466","43856242","8000.0","5100.0","36","6.68","1.5","0.78","245.85","A","A3","0","MORTGAGE","32000.0","NOT_VERIFIED","2015-02-11T09:30:06.000-08:00","2015-02-25T09:34:30.000-08:00","2015-02-11T10:00:00.000-08:00","2015-02-11T09:27:11.000-08:00","2015-02-11T09:53:13.000-08:00","APPROVED","","credit_card","290xx","SC","0","F","SALES","2015-02-11T10:00:00.000-08:00","0","4","6590","29.9","16.45","0","0.0","1999-01-10T16:00:00.000-08:00","675","679","0","64","","","64","36","0","9","0","26439","5631.0","33.9","9400","25","22487","17","64","0","2","0","0","0","64","9","2","8","39087","26439","2938","11","3","3","88","0","0","0","8","166","4","193","10","16600","4","7","875","0.0"
"41040370","43916148","12000.0","7350.0","36","6.39","1.3","0.78","367.19","A","A2","24","RENT","30000.0","NOT_VERIFIED","2015-02-10T20:01:13.000-08:00","2015-02-24T20:10:37.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-10T20:00:11.000-08:00","","NOT_APPROVED","","credit_card","980xx","WA","0","F","Teacher","2015-02-11T06:00:00.000-08:00","0","1","3773","65.4","27.07","0","0.0","2006-05-10T17:00:00.000-07:00","715","719","1","","","2","","29","0","10","0","10412","8622.0","52.6","10900","20","10741","16","","0","0","0","0","0","","10","1","3","27141","10412","1041","9","4","5","100","0","0","0","2","77","8","105","3","16400","8","9","0","20.0"
"41100423","43976211","5000.0","4225.0","36","6.92","1.7","0.78","154.21","A","A4","48","MORTGAGE","34560.0","NOT_VERIFIED","2015-02-12T16:55:34.000-08:00","2015-02-26T17:11:09.000-08:00","2015-02-12T18:00:00.000-08:00","2015-02-11T18:57:41.000-08:00","","NOT_APPROVED","","home_improvement","891xx","NV","0","F","Specialty Steward","2015-02-12T18:00:00.000-08:00","0","1","6901","47.3","8.37","0","0.0","1995-11-11T16:00:00.000-08:00","660","664","0","","86","1","","15","2","6","1","6199","6199.0","45.9","13100","11","0","9","","1","0","0","0","0","","6","0","15","13500","6199","1033","6","4","5","100","0","0","0","0","","4","231","15","13500","4","6","0","0.0"
"41130643","44006442","7800.0","6550.0","36","6.92","1.7","0.78","240.56","A","A4","0","RENT","78000.0","NOT_VERIFIED","2015-02-12T09:01:03.000-08:00","2015-02-26T09:06:08.000-08:00","2015-02-12T10:00:00.000-08:00","2015-02-12T09:00:14.000-08:00","2015-02-12T09:06:23.000-08:00","APPROVED","","debt_consolidation","770xx","TX","0","F","Manager, Business Development","2015-02-12T10:00:00.000-08:00","0","3","15518","58.6","13.56","0","0.0","1982-06-11T17:00:00.000-07:00","750","754","0","","","13","","2","1","5","0","34171","22066.0","57.3","37500","13","20117","6","","0","0","0","0","0","","5","2","1","58617","34171","6834","3","3","3","100","0","0","0","5","142","4","391","1","38500","4","4","0","0.0"
"41050126","43925892","12000.0","7150.0","36","6.92","1.7","0.78","370.09","A","A4","12","MORTGAGE","43000.0","NOT_VERIFIED","2015-02-11T05:40:55.000-08:00","2015-02-25T05:44:09.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-11T05:38:10.000-08:00","2015-02-12T15:13:50.000-08:00","APPROVED","","debt_consolidation","532xx","WI","0","F","Accountant","2015-02-11T06:00:00.000-08:00","0","4","7732","60.3","22.97","0","0.0","2000-06-10T17:00:00.000-07:00","725","729","1","","","6","","18","1","9","0","22153","11768.0","58.8","19500","30","26637","13","","0","0","0","0","0","","9","2","12","105351","79936","9992","8","3","3","100","0","0","0","12","136","3","176","15","20000","3","5","0","33.3"
"41011145","43886936","10000.0","5750.0","36","6.92","1.7","0.78","308.41","A","A4","12","RENT","53800.0","NOT_VERIFIED","2015-02-11T09:35:18.000-08:00","2015-02-25T09:38:52.000-08:00","2015-02-11T10:00:00.000-08:00","2015-02-11T09:34:06.000-08:00","2015-02-11T09:41:26.000-08:00","APPROVED","","debt_consolidation","973xx","OR","0","F","Accountant ","2015-02-11T10:00:00.000-08:00","0","2","2806","77.9","10.48","0","0.0","1997-10-10T17:00:00.000-07:00","660","664","0","37","","15","","73","1","5","0","23956","10384.0","78.7","12700","12","14262","7","","0","1","0","0","0","37","5","1","4","27462","23956","5989","4","2","3","91","0","0","0","4","208","3","199","13","13200","3","4","0","50.0"
"41080583","43956386","10000.0","6700.0","36","5.93","1.0","0.78","303.91","A","A1","84","MORTGAGE","43000.0","NOT_VERIFIED","2015-02-11T16:27:17.000-08:00","2015-02-25T16:30:14.000-08:00","2015-02-11T18:00:00.000-08:00","2015-02-11T16:26:57.000-08:00","2015-02-13T10:33:12.000-08:00","APPROVED","","debt_consolidation","141xx","NY","0","F","Manager","2015-02-11T18:00:00.000-08:00","0","4","21521","33.6","23.58","0","0.0","1988-10-11T17:00:00.000-07:00","750","754","0","61","","","","5","3","10","0","18411","11038.0","32.3","32400","25","25150","13","","0","0","0","0","0","","10","2","5","129771","83889","8389","7","4","5","96","0","0","0","9","316","5","264","5","34200","5","7","0","0.0"
"41030803","43906586","16000.0","14925.0","60","12.29","4.48","0.58","358.27","C","C1","36","MORTGAGE","82000.0","NOT_VERIFIED","2015-02-12T15:43:40.000-08:00","2015-02-26T15:47:27.000-08:00","2015-02-12T18:00:00.000-08:00","2015-02-12T15:42:53.000-08:00","","NOT_APPROVED","","credit_card","450xx","OH","0","W","Branch Manager","2015-02-13T06:00:00.000-08:00","0","6","2568","78.0","27.55","1","0.0","2002-04-11T17:00:00.000-07:00","675","679","3","17","","1","","14","1","21","0","114730","12991.0","59.5","11700","43","130192","24","","0","0","0","0","0","","21","4","3","335026","288868","13756","13","7","7","97","0","0","0","18","154","12","150","6","21600","12","15","0","71.4"
"40961311","43837136","10000.0","8550.0","36","9.17","3.0","0.85","318.79","B","B2","0","RENT","53000.0","VERIFIED","2015-02-12T10:25:07.000-08:00","2015-02-26T10:34:21.000-08:00","2015-02-12T14:00:00.000-08:00","2015-02-12T10:24:37.000-08:00","2015-02-13T14:51:58.000-08:00","APPROVED","","credit_card","675xx","KS","0","F","","2015-02-12T14:00:00.000-08:00","0","7","346","93.1","19.02","0","0.0","1988-06-11T17:00:00.000-07:00","685","689","0","24","","7","24","25","3","8","0","19496","7696.0","58.3","5000","32","17206","13","24","0","0","0","0","0","","8","3","7","30406","19496","2437","4","1","1","90","0","0","0","16","133","4","320","7","13200","4","5","108","100.0"
"40888473","43754185","15000.0","9925.0","36","7.89","2.15","0.78","469.29","A","A5","12","MORTGAGE","125000.0","SOURCE_VERIFIED","2015-02-11T06:30:14.000-08:00","2015-02-25T06:37:40.000-08:00","2015-02-11T10:00:00.000-08:00","2015-02-11T06:29:56.000-08:00","2015-02-12T15:28:08.000-08:00","APPROVED","","debt_consolidation","481xx","MI","0","F","Delivery Services Consultant","2015-02-11T10:00:00.000-08:00","0","4","3263","72.6","17.56","0","0.0","1993-11-10T16:00:00.000-08:00","725","729","0","37","","8","37","40","5","11","0","58235","8637.0","41.9","11900","24","73224","8","","0","0","0","0","0","","11","3","8","217574","163850","14895","6","4","4","95","0","0","0","11","154","4","255","10","20600","4","6","1093","25.0"
"39662058","42485894","12000.0","7700.0","60","10.99","4.43","0.53","260.85","B","B4","120","MORTGAGE","68000.0","NOT_VERIFIED","2015-02-10T08:38:05.000-08:00","2015-02-25T11:23:51.000-08:00","2015-02-11T14:00:00.000-08:00","2015-02-10T08:12:08.000-08:00","2015-02-13T09:05:01.000-08:00","APPROVED","","debt_consolidation","750xx","TX","0","F","Police Officer","2015-02-11T14:00:00.000-08:00","0","1","4104","63.7","24.3","1","0.0","1999-12-09T16:00:00.000-08:00","660","664","0","14","","15","67","105","3","11","0","92795","7196.0","63.7","11300","26","76526","10","67","0","2","0","0","0","14","11","0","24","217657","218258","19842","8","4","5","76","1","0","0","13","135","4","182","97","11300","4","5","221","40.0"
"40960909","43836714","12000.0","6550.0","60","9.99","4.05","0.53","254.91","B","B3","0","RENT","65000.0","VERIFIED","2015-02-11T04:47:15.000-08:00","2015-02-25T04:52:48.000-08:00","2015-02-11T06:00:00.000-08:00","2015-02-11T04:44:57.000-08:00","2015-02-13T07:56:15.000-08:00","APPROVED","","debt_consolidation","460xx","IN","0","W","","2015-02-11T18:00:00.000-08:00","0","2","735","91.6","19.89","0","0.0","1998-07-10T17:00:00.000-07:00","665","669","0","25","","16","25","10","0","5","0","47485","7965.0","91.6","8700","12","57127","4","25","0","1","0","0","0","57","5","1","10","65827","47485","9497","2","2","2","75","0","0","0","8","103","2","199","10","8700","2","2","0","100.0"
"39480449","42284194","9000.0","6125.0","36","6.92","1.7","0.78","277.57","A","A4","120","RENT","148000.0","NOT_VERIFIED","2015-02-11T21:41:01.000-08:00","2015-02-25T21:49:38.000-08:00","2015-02-12T06:00:00.000-08:00","2015-02-11T20:45:58.000-08:00","2015-02-13T11:51:54.000-08:00","APPROVED","","debt_consolidation","945xx","CA","0","F","Bed Hub Supervisor (RN)","2015-02-12T06:00:00.000-08:00","0","3","3780","31.3","7.67","0","0.0","1985-05-11T17:00:00.000-07:00","720","724","0","56","","14","66","14","17","8","0","145057","117940.0","37.3","5500","36","28500","15","","0","5","0","0","0","56","8","1","5","601795","509315","63664","5","2","2","80","0","0","0","4","117","4","357","14","136700","4","5","0","0.0"
